run,status,model,backbone,loss,loss_display,venue,year,family,loss_variant,epochs,best_val_miou,best_val_miou_epoch,best_val_miou_present,best_val_miou_present_epoch,final_val_miou,final_val_miou_present,final_train_loss,final_val_loss,min_val_loss,val_overfit_drop_from_best,test_loss,test_miou,test_miou_present,test_macro_f1,test_macro_f1_present,test_oa_fg,test_ce,test_dice,val_bestckpt_miou,val_bestckpt_miou_present,val_bestckpt_macro_f1_present,val_bestckpt_oa_fg,params_m,gmacs,gflops,latency_ms_1x3x512x512,peak_vram_gb,gflops_approx,venue_year
geoseg_unetformer_goldmdd_b8_e80_poly_focal_dice_auxfocal,completed,UNetFormer,ResNet-18,focal_dice,focal+dice+aux_focal,ISPRSJPRS2022,2022.0,remote_sensing,focal_dice,80.0,0.3313733182268534,5.0,0.3313733182268534,5.0,,,,,,,,0.3137265189426795,0.3764718227312154,0.4157372069609248,0.4988846483531097,0.7182383989406592,,,0.3313733182268534,0.3313733182268534,0.4291254858293731,0.7378260084557534,11.725918,11.775443456,23.550886912,3.3975238601366677,0.08757352828979492,0.0,
geoseg_unetformer_goldmdd_b8_e80_poly_weighted_ce_dice_auxce,completed,UNetFormer,ResNet-18,weighted_ce_dice,weighted_ce+dice+aux_ce,ISPRSJPRS2022,2022.0,remote_sensing,weighted_ce_dice,80.0,0.327457219239917,25.0,0.327457219239917,25.0,,,,,,,,0.2743208158894049,0.3566170606562264,0.3793026119098982,0.4930933954828677,0.6810797171191484,,,0.327457219239917,0.327457219239917,0.4329266894696681,0.7242540287716995,11.725918,11.775443456,23.550886912,3.3975238601366677,0.08757352828979492,0.0,
afformer_base_goldmdd,completed,Afformer,AFFormer-Base,ce_dice,ce+dice,AAAI2023,2023.0,general,-,80.0,0.2928,76.0,0.3153230769230769,76.0,,,,,,,,0.2176379070241521,0.304693069833813,0.3115898745933124,0.4362258244306372,0.6389085149627277,,,0.2928,0.3153230769230769,0.4038128224226359,0.761,2.969002,4.28652392,8.57304784,7.470433538158734,0.1690754890441894,1.0,
efficientvit_b2_baseline1_augv2_ce_dice,completed,EfficientViT-Seg,EfficientViT-B2,ce_dice,ce+dice,ICCV2023,2023.0,general,ce_dice,80.0,0.3444159924983978,13.0,0.3444159924983978,64.0,0.324218,0.349158,0.725954,2.078805,1.570599,0.0202089999999999,1.6395058874977368,0.2713290154933929,0.3798606097698211,0.3617891669273376,0.5065048336982727,0.7258000373840332,0.7725811277266307,0.8669247610252188,0.3444159924983978,0.3444159924983978,0.458028644323349,0.7549968361854553,15.28019,9.157787648,18.315575296,6.42118938267231,0.1212944984436035,0.0,
efficientvit_b2_baseline3_augv2_focal_dice,completed,EfficientViT-Seg,EfficientViT-B2,focal_dice,focal+dice,ICCV2023,2023.0,general,focal_dice,80.0,0.3519584834575653,50.0,0.3790321946144104,50.0,0.346412,0.373059,0.673182,1.823821,1.264903,0.005579,1.60631697035654,0.2637917101383209,0.3693083822727203,0.3632533848285675,0.5085546970367432,0.678137481212616,0.7327751587319544,0.8735418106114874,0.3519584834575653,0.3790321946144104,0.5034011602401733,0.7379652261734009,15.28019,9.157787648,18.315575296,6.42118938267231,0.1212944984436035,0.0,
efficientvit_b2_baseline2_augv2_weighted_ce_dice,completed,EfficientViT-Seg,EfficientViT-B2,weighted_ce_dice,weighted_ce+dice,ICCV2023,2023.0,general,weighted_ce_dice,80.0,0.3565373420715332,68.0,0.3839632868766784,68.0,0.350541,0.377506,0.736138,2.182189,1.682795,0.0059859999999999,2.3055919287376945,0.2707337439060211,0.3790272176265716,0.3700544536113739,0.5180761814117432,0.715374767780304,1.4396368518815557,0.8659550773436225,0.3565373420715332,0.3839632868766784,0.5164226293563843,0.7507149577140808,15.28019,9.157787648,18.315575296,6.42118938267231,0.1212944984436035,0.0,
farsegpp_mitb2_native,completed,FarSeg++,MiT-B2,native_ce,ce (native),TGRS2023,2023.0,remote_sensing,native_ce,80.0,0.3049414753913879,65.0,0.3283985257148742,65.0,,,,,,,,0.2186801433563232,0.306152194738388,0.3112917244434356,0.4358084201812744,0.6668990254402161,,,0.3049414753913879,0.3283985257148742,0.4340575635433197,0.7590472102165222,32.556623,47.539657216,95.079314432,8.77459223071734,0.27840662002563477,,
rsseg_logcan_r50_ce_dice,completed,LoGCAN,ResNet-50,native_ce_aux,ce+aux_ce (native),ICASSP2023,2023.0,remote_sensing,native_ce_aux,80.0,0.2950549914632485,80.0,0.2950549914632485,80.0,0.2085,0.2085,,,,,,0.2590221256211382,0.3108265507453659,0.340043177581642,0.4080518130979704,0.7473967160780789,,,0.2950549914632485,0.2950549914632485,0.3798139503716721,0.7522029811762315,30.915732,49.612668928,99.225337856,6.053013975421588,0.2298388481140136,1.0,
rsseg_sacanet_hrnetw32,completed,SACANet,HRNet-W32,native_ce_aux,ce+aux_ce (native),ICME2023,2023.0,remote_sensing,native_ce_aux,80.0,0.2985112071037292,29.0,0.3214735984802246,29.0,,,,,,,,0.2533589601516723,0.3293666243553161,,0.455735981464386,0.6573339104652405,,,0.2985112071037292,0.3214735984802246,0.4190563559532165,0.687758207321167,30.270364,57.952124928,115.904249856,19.017934054136276,0.3072795867919922,,
seaformer_base_goldmdd,completed,SeaFormer,SeaFormer-Base,ce_dice,ce+dice,ICLR2023,2023.0,general,-,80.0,0.3116,37.0,0.3116230769230769,37.0,,,,,,,,0.2397788544890813,0.3117125108358057,0.3390874995354144,0.4408137493960388,0.6391730519131997,,,0.3116,0.3116230769230769,0.4019905614782233,0.7642,8.583758,1.737027584,3.474055168,12.466618667046228,0.1700191497802734,1.0,
cgrseg_b_goldmdd,completed,CGRSeg,EfficientFormerV2-B,ce_dice,ce+dice,ECCV2024,2024.0,general,ce_dice,80.0,0.3054052736020001,56.0,0.3054052736020001,56.0,,,,,,,,0.1913284755512903,0.2678598657718065,0.2829250829625098,0.3960951161475136,0.5844413041481534,,,0.3054052736020001,0.3054052736020001,0.3963171585649256,0.7576714183503814,19.079919,3.750152583,7.500305166,14.46316863099734,0.25689697265625,,
